Date ,No. of test ,No. of infected ,No. of recovered ,No. of death 
6/1/2022,5380,34,357,0
6/2/2022,5225,22,268,0
6/3/2022,4829,29,195,0
6/4/2022,4124,31,205,0
6/5/2022,4317,34,199,0
6/6/2022,4328,43,154,0
6/7/2022,4738,54,425,0
6/8/2022,4901,58,314,0
6/9/2022,5150,59,149,0
6/10/2022,4755,64,145,0
6/11/2022,6225,71,110,0
6/12/2022,5280,109,91,0
6/13/2022,6688,128,71,0
6/14/2022,4552,162,79,0
6/15/2022,5986,232,88,0
6/16/2022,6200,357,114,0
6/17/2022,6905,433,93,0
6/18/2022,5122,304,47,0
6/19/2022,8074,596,49,0
6/20/2022,8028,873,92,1
6/21/2022,7927,874,84,1
6/22/2022,8536,1135,122,1
6/23/2022,9214,1319,127,1
6/24/2022,13833,1685,185,0
6/25/2022,8492,1280,102,3
6/26/2022,10728,1680,169,2
6/27/2022,13820,2101,179,2
6/28/2022,13489,2087,200,3
6/29/2022,14712,2241,152,0
6/30/2022,13905,2183,290,4
7/1/2022,12389,1897,248,5
7/2/2022,8357,1105,233,6
7/3/2022,12246,1902,307,2
7/4/2022,13842,2284,482,12
7/5/2022,11932,1998,494,7
7/6/2022,10233,1728,526,4
7/7/2022,10822,1790,678,3
7/8/2022,9580,1611,890,7
7/9/2022,6024,939,837,3
7/10/2022,4659,814,1009,2
7/11/2022,3952,521,1105,3
7/12/2022,4761,656,1542,9
7/13/2022,7448,1027,1559,5
7/14/2022,11131,1324,1747,6
7/15/2022,9100,1051,1957,2
7/16/2022,7351,1007,1854,5
7/17/2022,8091,900,1983,4
7/18/2022,10974,1072,1997,7
7/19/2022,9099,879,1693,8
7/20/2022,9047,1104,1242,1
7/21/2022,9010,884,1602,6
7/22/2022,7395,620,1765,2
7/23/2022,4415,446,1434,4
7/24/2022,6105,430,1270,4
7/25/2022,6987,548,1277,5
7/26/2022,10119,621,1132,4
7/27/2022,9162,626,839,5
7/28/2022,9338,618,872,4
7/29/2022,6083,355,696,1
7/30/2022,5256,349,763,3
7/31/2022,5720,365,868,3
8/1/2022,5953,349,1011,1
8/2/2022,5015,387,693,3
8/3/2022,5742,375,974,3
8/4/2022,5404,278,741,2
8/5/2022,5002,253,933,2
8/6/2022,3959,220,545,2
8/7/2022,4233,216,720,0
8/8/2022,5929,296,638,3
8/9/2022,5504,239,489,1
8/10/2022,3888,198,386,1
8/11/2022,4806,214,497,1
8/12/2022,4589,218,350,2
8/13/2022,3356,144,456,0
8/14/2022,5266,226,479,1
8/15/2022,6336,259,415,1
8/16/2022,2110,93,228,0
8/17/2022,4666,212,539,0
8/18/2022,4824,170,334,1
8/19/2022,2763,93,273,0
8/20/2022,2266,100,257,0
8/21/2022,4603,173,372,0
8/22/2022,5656,178,281,1
8/23/2022,4540,175,329,0
8/24/2022,4293,167,235,3
8/25/2022,5834,258,221,1
8/26/2022,4721,196,278,1
8/27/2022,3663,156,180,2
8/28/2022,4696,217,299,0
8/29/2022,5125,243,276,0
8/30/2022,4215,172,362,0
8/31/2022,4115,214,282,1
9/1/2022,3955,216,233,2
9/2/2022,3768,214,259,1
9/3/2022,2382,155,102,1
9/4/2022,4669,230,194,1
9/5/2022,4987,333,187,0
9/6/2022,4662,313,197,1
9/7/2022,4066,282,165,0
9/8/2022,5241,388,227,1
9/9/2022,3334,278,260,1
9/10/2022,2574,222,247,1
9/11/2022,3493,310,192,2
9/12/2022,4560,421,291,0
9/13/2022,4122,435,230,1
9/14/2022,4781,402,217,1
9/15/2022,4920,438,303,1
9/16/2022,3340,363,260,2
9/17/2022,1460,141,284,0
9/18/2022,4143,527,284,0
9/19/2022,5179,601,362,1
9/20/2022,5179,614,283,5
9/21/2022,4351,641,283,0
9/22/2022,4798,678,339,1
9/23/2022,4031,620,345,1
9/24/2022,2668,350,350,4
9/25/2022,4413,572,358,2
9/26/2022,5288,718,436,6
9/27/2022,4781,737,411,1
9/28/2022,4728,665,428,0
9/29/2022,5017,679,354,2
9/30/2022,4828,708,687,2
